# T (GeV)                   lower_range_of_90%_interval upper_range_of_90%_interval
1.350000000000000089e-01	2.283805935328281009e-02	1.206472596664474040e-01
1.360804020100502554e-01	2.356548212100654377e-02	1.210504509202028484e-01
1.371608040201005019e-01	2.437709104180287370e-02	1.214543783880068090e-01
1.382412060301507761e-01	2.521519101408841931e-02	1.218454600177503178e-01
1.393216080402010226e-01	2.606970303977540482e-02	1.221807884160000246e-01
1.404020100502512691e-01	2.697148232652402805e-02	1.225204518547419463e-01
1.414824120603015156e-01	2.789647008539040268e-02	1.228714690788153402e-01
1.425628140703517621e-01	2.887486348635315281e-02	1.232315425248646512e-01
1.436432160804020086e-01	2.985784911462755972e-02	1.235809223060811146e-01
1.447236180904522551e-01	3.085152851831689247e-02	1.239293526254135330e-01
1.458040201005025294e-01	3.188801975437381003e-02	1.242662601117714150e-01
1.468844221105527759e-01	3.294096518886622388e-02	1.245992965953983955e-01
1.479648241206030224e-01	3.401651139108977095e-02	1.249158696214004299e-01
1.490452261306532689e-01	3.505608433165199878e-02	1.252217895446993690e-01
1.501256281407035154e-01	3.618763825450768690e-02	1.255462843062781220e-01
1.512060301507537896e-01	3.728833521460202943e-02	1.259297372873430798e-01
1.522864321608040361e-01	3.837334414068650779e-02	1.263691747449508518e-01
1.533668341708542826e-01	3.940447101961064291e-02	1.267555403858506846e-01
1.544472361809045291e-01	4.039436824990637331e-02	1.271919934410778164e-01
1.555276381909547756e-01	4.132323195912811220e-02	1.276297742409837899e-01
1.566080402010050221e-01	4.221120717065377642e-02	1.280685618901683531e-01
1.576884422110552686e-01	4.300878563756525830e-02	1.285822275211604138e-01
1.587688442211055428e-01	4.368800017951418591e-02	1.291330937234141663e-01
1.598492462311557893e-01	4.421553896945576434e-02	1.296365136475835789e-01
1.609296482412060358e-01	4.459286616739270570e-02	1.301875911596126756e-01
1.620100502512562823e-01	4.492748939051154772e-02	1.308056763495038244e-01
1.630904522613065288e-01	4.512072421743450884e-02	1.314404183107172885e-01
1.641708542713567753e-01	4.529359151394445060e-02	1.321246229428137964e-01
1.652512562814070496e-01	4.530932590939619475e-02	1.328803213491804303e-01
1.663316582914572961e-01	4.530177764441442601e-02	1.337077771252540848e-01
1.674120603015075426e-01	4.521562305256952852e-02	1.346059838916600915e-01
1.684924623115577891e-01	4.509719274189424171e-02	1.354824627368050316e-01
1.695728643216080356e-01	4.490416699611293055e-02	1.363533685194931178e-01
1.706532663316582821e-01	4.468825648372931614e-02	1.372629331623492766e-01
1.717336683417085563e-01	4.441822465981813683e-02	1.382318236990380256e-01
1.728140703517588028e-01	4.408632658139784166e-02	1.391448803694880498e-01
1.738944723618090493e-01	4.370400647421935486e-02	1.400968323213410971e-01
1.749748743718592958e-01	4.321313784782031264e-02	1.410545947025389213e-01
1.760552763819095423e-01	4.276275493372170416e-02	1.420025697269218234e-01
1.771356783919598166e-01	4.222715292309616592e-02	1.429230746972684762e-01
1.782160804020100353e-01	4.164839112126270809e-02	1.438423238771957546e-01
1.792964824120603096e-01	4.108200442612979647e-02	1.447795534372944004e-01
1.803768844221105561e-01	4.044102186878657107e-02	1.456665033809089460e-01
1.814572864321608026e-01	3.983974227076850921e-02	1.465829143276108359e-01
1.825376884422110491e-01	3.913572587310820000e-02	1.475008873521184705e-01
1.836180904522612956e-01	3.849327237843977456e-02	1.483932022904728976e-01
1.846984924623115698e-01	3.783341748007364169e-02	1.492844895061106181e-01
1.857788944723618163e-01	3.716784924140539154e-02	1.501721001274950174e-01
1.868592964824120628e-01	3.641255230366670370e-02	1.509691588364309722e-01
1.879396984924623093e-01	3.569602026122818683e-02	1.517145102357319586e-01
1.890201005025125558e-01	3.494301321153929496e-02	1.524690836932786342e-01
1.901005025125628023e-01	3.418693625389861157e-02	1.531491255969828491e-01
1.911809045226130488e-01	3.347336800586113437e-02	1.538384885667568314e-01
1.922613065326633230e-01	3.272508930921054493e-02	1.545559319674586207e-01
1.933417085427135695e-01	3.200528038641959477e-02	1.552109352293295774e-01
1.944221105527638160e-01	3.129640156508000509e-02	1.558484106010012415e-01
1.955025125628140625e-01	3.055952937966684851e-02	1.564845641910432017e-01
1.965829145728643090e-01	2.982363394547249413e-02	1.570075511592296524e-01
1.976633165829145833e-01	2.912173054613382064e-02	1.575441257154688579e-01
1.987437185929648020e-01	2.840659874133505403e-02	1.580990169474256746e-01
1.998241206030150763e-01	2.773325770365076687e-02	1.585392702924589559e-01
2.009045226130653228e-01	2.703556146915395836e-02	1.590066168049079909e-01
2.019849246231155693e-01	2.640340771881214896e-02	1.593573623196737898e-01
2.030653266331658435e-01	2.575097821893203645e-02	1.597454782326715450e-01
2.041457286432160623e-01	2.507726639137051322e-02	1.601183893959175208e-01
2.052261306532663365e-01	2.443589950117442886e-02	1.604333820227443197e-01
2.063065326633165830e-01	2.381355464962864668e-02	1.607448232225818785e-01
2.073869346733668295e-01	2.320335685609277790e-02	1.610423344515808097e-01
2.084673366834170760e-01	2.259758374577668441e-02	1.614070235985763380e-01
2.095477386934673225e-01	2.201240788432841725e-02	1.617137593843681886e-01
2.106281407035175968e-01	2.141800056088451198e-02	1.619759891762398152e-01
2.117085427135678155e-01	2.085214517317697178e-02	1.621880144075279473e-01
2.127889447236180898e-01	2.028943922673294084e-02	1.624570088145117497e-01
2.138693467336683363e-01	1.977847405745972176e-02	1.626579196136476724e-01
2.149497487437185828e-01	1.926015295780750258e-02	1.628551649966854808e-01
2.160301507537688570e-01	1.873882969904673915e-02	1.630495307444784492e-01
